Wall time,Step,Value
1553083627.4636228,256,128.53396606445312
1553083629.2002099,512,76.23499298095703
1553083630.8470452,768,48.474327087402344
1553083632.81149,1024,64.96709442138672
1553083634.617054,1280,51.11835861206055
1553083636.337281,1536,60.25041580200195
1553083638.102318,1792,22.927942276000977
1553083639.819988,2048,73.80448913574219
1553083641.573618,2304,10.396504402160645
1553083643.332494,2560,8.366066932678223
1553083645.059425,2816,4.594366550445557
1553083646.716164,3072,1.8061052560806274
1553083648.468619,3328,2.2545313835144043
1553083650.1756349,3584,2.9079489707946777
1553083651.8805618,3840,9.241941452026367
1553083653.60729,4096,113.3753433227539
1553083655.316122,4352,173.7085723876953
1553083656.9961212,4608,199.25628662109375
1553083658.742662,4864,108.4802474975586
1553083660.360485,5120,29.97531509399414
1553083662.159443,5376,23.87688446044922
1553083663.833838,5632,24.616161346435547
1553083665.567652,5888,28.54909324645996
1553083667.2877629,6144,23.264362335205078
1553083668.957021,6400,53.26683807373047
1553083670.643061,6656,74.34796905517578
1553083672.3243241,6912,67.29058074951172
1553083674.0248818,7168,66.62640380859375
1553083675.7918348,7424,65.96613311767578
1553083677.500858,7680,74.19251251220703
1553083679.3560011,7936,41.887290954589844
1553083681.030105,8192,26.57156753540039
1553083682.713035,8448,30.669775009155273
1553083684.3573031,8704,37.010807037353516
1553083686.008589,8960,20.40353012084961
1553083687.619596,9216,18.59945297241211
1553083689.2972102,9472,23.791522979736328
1553083690.9451818,9728,21.04279136657715
1553083692.599883,9984,24.312877655029297
1553083694.257304,10240,25.43844223022461
1553083696.087703,10496,25.625839233398438
1553083697.7663229,10752,24.862926483154297
1553083699.423677,11008,45.744361877441406
1553083701.059525,11264,41.15796661376953
1553083702.7367492,11520,161.78793334960938
1553083704.41944,11776,253.2284698486328
1553083706.1102269,12032,288.5727233886719
1553083707.785297,12288,290.8228759765625
1553083709.43014,12544,352.3531494140625
1553083711.08582,12800,283.0823974609375
1553083712.969465,13056,284.8243408203125
1553083714.6342661,13312,247.3137664794922
1553083716.321087,13568,234.18582153320312
1553083718.0192268,13824,268.8576354980469
1553083719.701909,14080,247.3026885986328
1553083721.42583,14336,241.6688690185547
1553083723.123269,14592,150.14007568359375
1553083724.794572,14848,164.4193572998047
1553083726.537534,15104,117.97569274902344
1553083728.278949,15360,125.3012924194336
1553083730.273479,15616,201.8623809814453
1553083732.003144,15872,188.16358947753906
1553083733.718335,16128,174.4599151611328
1553083735.4241421,16384,182.1095733642578
1553083737.124214,16640,163.23123168945312
1553083738.795251,16896,149.0381622314453
1553083740.556183,17152,159.49623107910156
1553083742.250557,17408,211.74169921875
1553083743.9495392,17664,174.40586853027344
1553083745.6503181,17920,154.68060302734375
1553083747.530467,18176,188.251220703125
1553083749.179785,18432,159.53482055664062
1553083750.8639889,18688,164.6773223876953
1553083752.549394,18944,167.11392211914062
1553083754.215424,19200,178.66021728515625
1553083755.928051,19456,159.23703002929688
1553083757.6042,19712,166.75018310546875
1553083759.2768419,19968,188.97268676757812
1553083760.9818041,20224,201.7591094970703
1553083762.6698859,20480,172.4239959716797
1553083764.46754,20736,174.59471130371094
1553083766.160813,20992,175.53074645996094
1553083767.816915,21248,209.46456909179688
1553083769.499089,21504,147.0157928466797
1553083771.231528,21760,210.94775390625
1553083772.9824698,22016,207.4807891845703
1553083774.689523,22272,227.1343536376953
1553083776.448433,22528,211.8920440673828
1553083778.1892722,22784,312.1383056640625
1553083779.973227,23040,178.42367553710938
1553083782.04366,23296,213.08615112304688
1553083783.7543948,23552,251.29159545898438
1553083785.4716082,23808,301.3568420410156
1553083787.2374132,24064,288.38031005859375
1553083788.936064,24320,223.06625366210938
1553083790.6250181,24576,240.03060913085938
1553083792.326802,24832,247.3539276123047
1553083794.0252092,25088,245.6656951904297
1553083795.776605,25344,220.2620391845703
1553083797.514905,25600,185.26683044433594
1553083799.533468,25856,230.710693359375
1553083801.2243562,26112,215.3993682861328
1553083802.9703622,26368,218.4107666015625
1553083804.661095,26624,203.39903259277344
1553083806.3941681,26880,210.8878173828125
1553083808.0641432,27136,223.48062133789062
1553083809.737494,27392,201.20211791992188
1553083811.412504,27648,203.34121704101562
1553083813.146414,27904,161.4341583251953
1553083814.8243341,28160,194.33729553222656
1553083816.738142,28416,201.55792236328125
1553083818.439389,28672,165.44961547851562
1553083820.131188,28928,188.83387756347656
1553083821.866873,29184,208.25534057617188
1553083823.5726058,29440,217.8236541748047
1553083825.30048,29696,185.30296325683594
1553083827.027668,29952,174.41433715820312
1553083828.798856,30208,146.2200164794922
1553083830.562028,30464,144.52183532714844
1553083832.34943,30720,154.39959716796875
1553083834.329747,30976,125.67073822021484
1553083836.1107268,31232,90.89319610595703
1553083837.872132,31488,151.2142791748047
1553083839.5830138,31744,146.12757873535156
1553083841.3754969,32000,162.4497833251953
1553083843.112298,32256,116.16636657714844
1553083844.823369,32512,121.91512298583984
1553083846.571768,32768,148.88485717773438
1553083848.302778,33024,126.19465637207031
1553083850.0344121,33280,125.65879821777344
1553083852.005366,33536,113.9608383178711
1553083853.7021492,33792,168.36618041992188
1553083855.4246268,34048,170.28880310058594
1553083857.164865,34304,167.2799072265625
1553083858.8874261,34560,163.46658325195312
1553083860.602488,34816,131.62054443359375
1553083862.325079,35072,163.05609130859375
1553083864.0579898,35328,118.93125915527344
1553083865.82054,35584,122.6948013305664
1553083867.6248739,35840,165.19964599609375
1553083869.793153,36096,176.28860473632812
1553083871.5478358,36352,154.68844604492188
1553083873.305655,36608,140.0019073486328
1553083875.041316,36864,111.67070007324219
1553083876.8380642,37120,135.5418243408203
1553083878.556223,37376,128.56446838378906
1553083880.2947211,37632,95.42745971679688
1553083882.06663,37888,130.02574157714844
1553083883.8427022,38144,136.04013061523438
1553083885.5832121,38400,132.9389190673828
1553083887.61586,38656,198.7300567626953
1553083889.3700402,38912,134.07546997070312
1553083891.1389189,39168,136.9065399169922
1553083892.922247,39424,124.69625091552734
1553083894.6572318,39680,138.95266723632812
1553083896.493091,39936,92.9951171875
1553083898.2615192,40192,122.1264877319336
1553083900.0216389,40448,147.86453247070312
1553083901.788408,40704,133.99337768554688
1553083903.499309,40960,155.36328125
1553083905.610451,41216,167.26918029785156
1553083907.332887,41472,153.64126586914062
1553083909.0742881,41728,165.15960693359375
1553083910.820734,41984,205.61044311523438
1553083912.5582411,42240,189.45919799804688
1553083914.2800598,42496,139.86898803710938
1553083916.012655,42752,191.91683959960938
1553083917.741492,43008,155.44911193847656
1553083919.4973829,43264,124.45084381103516
1553083921.236758,43520,131.25424194335938
1553083923.2368488,43776,150.873046875
1553083925.051397,44032,135.64797973632812
1553083926.832146,44288,157.4642333984375
1553083928.574176,44544,131.47760009765625
1553083930.549939,44800,140.46749877929688
1553083932.3335931,45056,96.43022155761719
1553083934.0802581,45312,92.870361328125
1553083935.842007,45568,89.66014099121094
1553083937.570352,45824,112.7762451171875
1553083939.283797,46080,97.96797943115234
1553083941.2630012,46336,148.14404296875
1553083943.0163221,46592,101.59307098388672
1553083944.750262,46848,153.98947143554688
1553083946.470345,47104,145.25341796875
1553083948.1705658,47360,134.00169372558594
1553083949.877465,47616,128.4477081298828
1553083951.6681511,47872,133.27493286132812
1553083953.433291,48128,132.24038696289062
1553083955.186479,48384,134.7427215576172
1553083956.985856,48640,130.72210693359375
1553083959.0592608,48896,124.63981628417969
1553083960.806387,49152,120.29408264160156
1553083962.557916,49408,124.54683685302734
1553083964.340849,49664,147.22434997558594
1553083966.1017148,49920,130.36807250976562
1553083967.852884,50176,127.08699798583984
1553083969.730973,50432,179.19061279296875
1553083971.701479,50688,118.3761978149414
1553083973.4849331,50944,127.79952239990234
1553083975.226403,51200,130.46713256835938
1553083977.297472,51456,116.3267593383789
1553083979.0511081,51712,97.46206665039062
1553083980.848481,51968,110.4292221069336
1553083982.652204,52224,75.8662338256836
1553083984.442143,52480,116.29469299316406
1553083986.225993,52736,80.26959228515625
1553083988.005534,52992,81.31297302246094
1553083989.92723,53248,105.48371887207031
1553083991.887243,53504,107.49195861816406
1553083993.6671748,53760,84.44377136230469
1553083995.78083,54016,93.32991027832031
1553083997.55809,54272,115.2812728881836
1553083999.312574,54528,120.69999694824219
1553084001.095021,54784,113.34391784667969
1553084002.863023,55040,116.7757568359375
1553084004.656342,55296,118.7277603149414
1553084006.479627,55552,117.85569763183594
1553084008.313565,55808,115.1854019165039
1553084010.092683,56064,168.64804077148438
1553084011.886087,56320,129.9415283203125
1553084013.989274,56576,140.82469177246094
1553084015.762591,56832,101.15760803222656
1553084017.527882,57088,125.59974670410156
1553084019.335285,57344,117.05964660644531
1553084021.126749,57600,111.21041107177734
1553084022.907234,57856,146.6536407470703
1553084024.688332,58112,154.44752502441406
1553084026.555956,58368,157.7349090576172
1553084028.3904378,58624,112.8221664428711
1553084030.2149189,58880,129.597412109375
1553084032.440767,59136,106.69921875
1553084034.255815,59392,114.3416748046875
1553084036.0888488,59648,121.2770004272461
1553084037.934279,59904,96.52787017822266
1553084039.77683,60160,138.77346801757812
1553084041.679917,60416,119.7426986694336
1553084043.573981,60672,101.36393737792969
1553084045.4510012,60928,189.74888610839844
1553084047.331376,61184,121.76361083984375
1553084049.2576902,61440,137.0232391357422
1553084051.526436,61696,132.49948120117188
1553084053.3849962,61952,103.1375961303711
1553084055.2383192,62208,118.69355773925781
1553084057.110337,62464,133.01992797851562
1553084058.916631,62720,132.02392578125
1553084060.712686,62976,149.94766235351562
1553084062.641899,63232,118.91500091552734
1553084064.4682162,63488,106.52008056640625
1553084066.3047879,63744,116.6630630493164
1553084068.096939,64000,114.86564636230469
1553084070.2458692,64256,107.2878189086914
1553084072.121577,64512,118.86590576171875
1553084073.925367,64768,146.57388305664062
1553084075.752102,65024,117.9677505493164
1553084077.561387,65280,139.56375122070312
1553084079.369807,65536,158.11228942871094
1553084081.207361,65792,129.78775024414062
1553084083.016572,66048,125.08003234863281
1553084084.878749,66304,137.66299438476562
1553084086.7522361,66560,180.3370361328125
1553084088.850667,66816,100.24845123291016
1553084090.688221,67072,157.2149200439453
1553084092.520473,67328,111.62187194824219
1553084094.312116,67584,134.8799591064453
1553084096.158253,67840,122.30804443359375
1553084098.033432,68096,98.68457794189453
1553084099.852415,68352,91.17658233642578
1553084101.706869,68608,126.89115905761719
1553084103.5507221,68864,104.26065826416016
1553084105.419924,69120,136.43727111816406
1553084107.677002,69376,108.6682357788086
1553084109.538246,69632,144.08572387695312
1553084111.428683,69888,88.13002014160156
1553084113.2771661,70144,110.36341857910156
1553084115.138366,70400,142.13021850585938
1553084116.967551,70656,109.33536529541016
1553084118.846884,70912,91.60413360595703
1553084120.662431,71168,132.176025390625
1553084122.5475001,71424,108.9951400756836
1553084124.373066,71680,117.18193054199219
1553084126.7720761,71936,118.2062759399414
1553084128.656509,72192,160.64456176757812
1553084130.55689,72448,139.06146240234375
1553084132.385698,72704,118.5177001953125
1553084134.208232,72960,86.67741394042969
1553084136.0645068,73216,101.44739532470703
1553084137.923268,73472,127.91587829589844
1553084139.836245,73728,176.20339965820312
1553084141.686385,73984,146.98443603515625
1553084143.499829,74240,139.3111572265625
1553084145.737841,74496,112.40406799316406
1553084147.582958,74752,94.24588012695312
1553084149.460929,75008,168.96046447753906
1553084151.385845,75264,117.14337158203125
1553084153.2362711,75520,137.25306701660156
1553084155.1323688,75776,122.14654541015625
1553084157.048214,76032,84.11088562011719
1553084158.8823411,76288,173.0118865966797
1553084161.001801,76544,138.77914428710938
1553084163.212439,76800,183.63540649414062
1553084165.770647,77056,150.28103637695312
1553084167.732207,77312,118.91123962402344
1553084170.4534101,77568,133.62208557128906
