Wall time,Step,Value
1553116924.898301,512,42.31727600097656
1553116927.642096,1024,51.67368698120117
1553116930.373377,1536,56.20247268676758
1553116931.747749,1792,61.739845275878906
1553116935.1879308,2304,58.21281051635742
1553116939.001697,2816,70.55048370361328
1553116940.532897,3072,70.79122924804688
1553116942.018431,3328,71.01817321777344
1553116943.669445,3584,76.25685119628906
1553116945.2139661,3840,76.44214630126953
1553116946.701262,4096,82.80926513671875
1553116948.301163,4352,93.0947036743164
1553116949.74273,4608,99.44862365722656
1553116951.309676,4864,98.26702117919922
1553116952.7387662,5120,99.66083526611328
1553116954.655401,5376,104.03948974609375
1553116957.605258,5888,108.94688415527344
1553116960.719651,6400,107.26429748535156
1553116962.299192,6656,112.57554626464844
1553116971.4040189,7936,106.4542236328125
1553116972.858612,8192,109.95472717285156
1553116974.4021919,8448,106.40174865722656
1553116975.883049,8704,106.71337890625
1553116977.267456,8960,106.60853576660156
1553116980.022451,9472,104.32489013671875
1553116985.421819,10240,110.5225830078125
1553116988.444478,10496,110.62850189208984
1553116993.2481952,11008,108.77909851074219
1553116994.875173,11264,105.4094467163086
1553116996.796674,11520,103.72979736328125
1553116998.541684,11776,102.56583404541016
1553117001.792602,12288,102.38313293457031
1553117005.4222112,12800,97.33861541748047
1553117007.465941,13056,103.83454895019531
1553117012.858298,13824,104.0340347290039
1553117014.432928,14080,109.60115051269531
1553117016.030744,14336,105.29551696777344
1553117017.407881,14592,107.8525619506836
1553117018.793314,14848,111.46717834472656
1553117023.380079,15616,108.50779724121094
1553117024.799414,15872,111.6407470703125
1553117026.265429,16128,104.82414245605469
1553117027.718956,16384,106.4781265258789
1553117029.143902,16640,108.97755432128906
1553117030.621012,16896,103.97940826416016
1553117032.102189,17152,108.46699523925781
1553117033.447722,17408,105.79951477050781
1553117034.775062,17664,105.20521545410156
1553117036.133215,17920,107.55955505371094
1553117039.370898,18432,105.35282135009766
1553117040.7262652,18688,108.1141128540039
1553117042.063624,18944,109.9404067993164
1553117043.42651,19200,106.59538269042969
1553117046.21853,19712,105.47285461425781
1553117048.9444711,20224,107.96629333496094
1553117050.396505,20480,109.53304290771484
1553117053.5404959,20992,110.30232238769531
1553117054.871083,21248,108.68638610839844
1553117057.611658,21760,111.69195556640625
1553117059.032043,22016,113.55316162109375
1553117060.475901,22272,116.8245849609375
1553117061.92363,22528,112.95853424072266
1553117063.29103,22784,111.16587829589844
1553117064.667649,23040,114.9636459350586
1553117067.981152,23552,118.77054595947266
1553117069.328471,23808,121.63824462890625
1553117070.711104,24064,117.79166412353516
1553117072.1100821,24320,122.1866455078125
1553117074.8845031,24832,122.59879302978516
1553117079.07004,25600,114.6643295288086
1553117080.966044,25856,114.94001770019531
1553117083.818849,26368,120.15480041503906
