Wall time,Step,Value
1553116924.8985002,512,-0.004207247868180275
1553116927.642273,1024,0.012266178615391254
1553116930.373476,1536,0.015539909712970257
1553116931.747987,1792,0.009073459543287754
1553116935.188041,2304,-0.0003980305918958038
1553116939.0017831,2816,-0.005136012099683285
1553116940.5329988,3072,-0.000972477369941771
1553116942.018516,3328,-0.012512331828474998
1553116943.6695309,3584,-0.00739423930644989
1553116945.2141922,3840,0.004376192577183247
1553116946.701324,4096,-0.004534072242677212
1553116948.30125,4352,-0.0015466695185750723
1553116949.743019,4608,0.008071147836744785
1553116951.309762,4864,-0.0019202722469344735
1553116952.738852,5120,-0.0008740382036194205
1553116954.655487,5376,0.012180998921394348
1553116957.605388,5888,-0.00016360885638277978
1553116960.719737,6400,-0.001227012719027698
1553116962.2992792,6656,0.0062257274985313416
1553116971.4042618,7936,-0.002070154994726181
1553116972.858714,8192,0.0038975614588707685
1553116974.402313,8448,0.0033348272554576397
1553116975.88315,8704,-0.0007454848382622004
1553116977.267541,8960,0.007525984197854996
1553116980.022618,9472,0.005318126641213894
1553116985.422035,10240,0.00017013700562529266
1553116988.444757,10496,-0.0012494913535192609
1553116993.248259,11008,0.00255432166159153
1553116994.875351,11264,0.0017048607114702463
1553116996.796788,11520,0.006759972311556339
1553116998.541802,11776,-0.004124404862523079
1553117001.792702,12288,-0.0010338854044675827
1553117005.422297,12800,0.013475705869495869
1553117007.466104,13056,-0.001016189344227314
1553117012.8583832,13824,0.010402960702776909
1553117014.43311,14080,0.00956873781979084
1553117016.030847,14336,-0.008792927488684654
1553117017.407966,14592,0.0016130756121128798
1553117018.793398,14848,0.0024513707030564547
1553117023.380165,15616,-0.006014668382704258
1553117024.799603,15872,-0.007090833969414234
1553117026.26559,16128,0.0038484004326164722
1553117027.719041,16384,-0.0021635405719280243
1553117029.143987,16640,-0.011153983883559704
1553117030.621098,16896,-0.01024134736508131
1553117032.102278,17152,-0.008673017844557762
1553117033.44782,17408,0.00925020594149828
1553117034.775147,17664,-0.0032708211801946163
1553117036.1333702,17920,0.004844936542212963
1553117039.370983,18432,0.003382884431630373
1553117040.726349,18688,0.003247977467253804
1553117042.0637078,18944,-0.00908971019089222
1553117043.426692,19200,-0.014123024418950081
1553117046.218623,19712,0.0001234454830409959
1553117048.944577,20224,0.0014261847827583551
1553117050.3967621,20480,0.004925363697111607
1553117053.5405939,20992,0.00807985384017229
1553117054.871249,21248,0.0002756673493422568
1553117057.611763,21760,0.002606398658826947
1553117059.032141,22016,0.006190902553498745
1553117060.4760058,22272,0.005354610271751881
1553117061.923716,22528,0.004615816753357649
1553117063.291115,22784,0.009061400778591633
1553117064.667853,23040,-0.004304434638470411
1553117067.981251,23552,0.008033198304474354
1553117069.3285701,23808,-0.008910398930311203
1553117070.711188,24064,-0.006351020187139511
1553117072.110183,24320,-0.000672517460770905
1553117074.884598,24832,-0.012572497129440308
1553117079.070125,25600,0.00816975999623537
1553117080.966151,25856,-0.006174064241349697
1553117083.819009,26368,-0.008855015970766544
1553117086.652832,26880,0.007166932336986065
1553117088.0882182,27136,0.011753461323678493
1553117089.520111,27392,-0.0011535451048985124
1553117093.774644,28160,0.003048458369448781
1553117095.621826,28416,0.009024038910865784
1553117099.780205,29184,-0.003599309828132391
1553117103.8436952,29952,0.0040804059244692326
1553117106.53097,30464,-0.007112493272870779
1553117107.903209,30720,-0.00015162763884291053
1553117109.6932049,30976,0.005585732404142618
1553117115.1986592,32000,-0.0059736305847764015
1553117116.5430431,32256,0.004292159341275692
1553117117.9065669,32512,0.007786408066749573
1553117119.283726,32768,0.005087045952677727
1553117121.971883,33280,-0.0034728609025478363
1553117123.753978,33536,-0.004624011926352978
1553117127.804945,34304,0.0007200989639386535
1553117132.047186,35072,0.0033297992777079344
1553117133.415784,35328,-0.0050600613467395306
1553117136.3260841,35840,0.013043667189776897
1553117139.996207,36352,0.003762677311897278
1553117141.823137,36608,-0.004553685430437326
1553117143.295091,36864,-0.002709489781409502
1553117144.802828,37120,0.0007968810386955738
1553117146.22855,37376,0.0059208921156823635
1553117147.571071,37632,-0.006609448231756687
1553117150.291085,38144,0.0013865754008293152
1553117151.657413,38400,0.008918480947613716
1553117153.426337,38656,0.005754058249294758
1553117154.7738008,38912,0.009310629218816757
1553117157.5050519,39424,0.01067514717578888
1553117158.839057,39680,0.005213581956923008
1553117160.28422,39936,-0.007675132714211941
1553117163.011161,40448,0.010044262744486332
1553117164.35433,40704,-0.0016340132569894195
1553117165.6815941,40960,-0.006216946989297867
1553117169.047885,41472,-0.007788424380123615
1553117170.368109,41728,-0.00450464803725481
1553117173.153876,42240,0.0002573355450294912
1553117174.467873,42496,0.005610870663076639
1553117177.1292958,43008,0.006872054189443588
1553117178.446479,43264,0.011012605391442776
1553117179.80772,43520,0.012626823969185352
1553117183.014984,44032,-0.010355893522500992
1553117184.3703601,44288,0.0060942694544792175
1553117188.398994,45056,0.00027654459699988365
1553117189.741229,45312,-0.00037375479587353766
1553117191.130949,45568,-0.00479577761143446
1553117192.4945788,45824,0.0020431196317076683
1553117195.88752,46336,-0.010485830716788769
1553117197.321097,46592,0.002460895571857691
1553117200.003547,47104,-0.005135070998221636
1553117202.816164,47616,-0.011386740021407604
1553117204.197048,47872,0.004690417088568211
1553117205.5709388,48128,-0.005506844725459814
1553117207.0136352,48384,0.004269766621291637
1553117210.260628,48896,0.012333087623119354
1553117211.6782799,49152,-0.01605845056474209
1553117215.9712582,49920,0.004835235886275768
1553117221.9213781,50944,-0.0009262122330255806
1553117228.006807,51968,-0.00778155867010355
1553117232.110684,52736,-0.006954500917345285
1553117233.572774,52992,0.0074102021753787994
1553117234.9574049,53248,-0.0030912854708731174
1553117236.347698,53504,-0.013688547536730766
1553117237.739541,53760,0.001855499460361898
1553117242.2802482,54528,-0.006471100263297558
1553117243.622786,54784,-0.009087489917874336
1553117244.964638,55040,-0.0019536050967872143
1553117246.295806,55296,0.007657160051167011
1553117250.58496,56064,-0.007034709211438894
1553117252.377269,56320,0.00505922082811594
1553117254.59027,56576,0.00014312923303805292
1553117256.177691,56832,0.005595081951469183
1553117257.810048,57088,-0.01078769750893116
1553117259.419355,57344,0.003508199006319046
1553117262.42808,57856,-0.00014104103320278227
1553117263.8319008,58112,-0.00724725890904665
1553117265.2165918,58368,-0.00819927267730236
1553117268.0920398,58880,-0.0058084218762815
1553117270.6920052,59136,-0.019315270707011223
1553117272.3351371,59392,0.012514429166913033
1553117273.945544,59648,-0.005914154462516308
1553117275.5659578,59904,0.005261633545160294
1553117277.157136,60160,0.005528704263269901
1553117278.9309802,60416,0.011486704461276531
1553117282.135568,60928,0.009163979440927505
1553117283.860993,61184,-0.009827496483922005
1553117288.0622149,61696,0.004087598063051701
1553117293.853651,62720,-0.00589084904640913
1553117295.5110888,62976,-0.018799973651766777
1553117298.4642181,63488,0.008284018374979496
1553117299.806796,63744,0.0008246280485764146
1553117301.2926662,64000,0.001832823851145804
1553117303.392094,64256,-0.0027551264502108097
1553117304.7372448,64512,0.007816588506102562
1553117306.1271381,64768,-0.00860180240124464
1553117310.3307672,65536,0.01647898741066456
1553117314.550108,66304,-0.0034350045025348663
1553117316.032845,66560,0.0015340358950197697
1553117318.207957,66816,0.0021380551625043154
1553117319.774959,67072,-0.0014365129172801971
1553117322.663991,67584,0.0027626724913716316
1553117325.392141,68096,0.005543960724025965
1553117328.0997481,68608,-0.00682798633351922
1553117330.967069,69120,0.005920214578509331
1553117334.2815099,69632,-0.007026691921055317
1553117335.684318,69888,-0.0034220232628285885
1553117337.100872,70144,-0.009383775293827057
1553117338.470402,70400,-0.0014515999937430024
1553117339.820606,70656,-0.002858820604160428
1553117342.578908,71168,-0.011861542239785194
1553117343.9322398,71424,0.005796287674456835
1553117347.1435032,71936,0.011685449630022049
1553117348.574702,72192,-0.0033318349160254
1553117349.9474938,72448,-0.001911308616399765
1553117352.7596679,72960,-0.0017732512205839157
1553117359.5665889,74240,-0.015964239835739136
1553117363.023921,74752,0.014636971056461334
1553117364.40578,75008,0.0008011605823412538
1553117367.304619,75520,0.0012030925136059523
1553117368.694119,75776,0.007546375039964914
1553117370.101729,76032,-0.01800912246108055
1553117371.5114062,76288,0.0014731900300830603
1553117372.94575,76544,-0.0008423468098044395
1553117374.3795042,76800,0.010059692896902561
1553117376.4408221,77056,-0.003404154209420085
1553117377.858125,77312,-0.0007308600470423698
1553117379.235531,77568,0.0015573051059618592
1553117380.597557,77824,0.0006161819328553975
1553117386.193155,78848,0.002574386540800333
1553117387.639404,79104,-0.005879649426788092
1553117390.9601789,79616,-0.006002278998494148
1553117395.07712,80384,-0.00196274952031672
1553117400.6847732,81408,0.001286767772398889
1553117402.080544,81664,-0.007866108790040016
1553117403.439442,81920,0.008475014939904213
1553117405.4196422,82176,0.019793635234236717
